"node","degree_centrality","betweenness_centrality","closeness_centrality","clustering_coefficient"
"1508",1,0,0.175,0
"9964",1,0,0.175,0
"7500",1,0,0.175,0
"3120",1,0,0.175,0
"10890",1,0,0.175,0
"7348",1,0,0.175,0
"1219",1,0,0.175,0
"9865",1,0,0.175,0
"3392",1,0,0.175,0
"4499",1,0,0.175,0
"6130",1,0,0.175,0
"2051",1,0,0.194,0
"527",1,0,0.194,0
"4182",1,0,0.194,0
"10827",1,0,0.194,0
"10859",1,0,0.194,0
"1463",1,0,0.194,0
"4865",1,0,0.194,0
"4879",1,0,0.194,0
"6867",1,0,0.194,0
"3355",1,0,0.194,0
"4653",1,0,0.194,0
"4440",1,0,0.194,0
"3592",1,0,0.194,0
"8003",1,0,0.194,0
"10530",1,0,0.194,0
"9054",1,0,0.194,0
"1410",1,0,0.667,0
"10500",1,0,0.667,0
"5675",2,0.002,0.262,0
"262",1,0,0.23,0
"3237",1,0,0.23,0
"6503",1,0,0.23,0
"5983",2,0.001,0.238,0
"5814",1,0,0.23,0
"6932",1,0,0.23,0
"8077",1,0,0.23,0
"4966",1,0,0.23,0
"2893",1,0,0.23,0
"7605",1,0,0.23,0
"8580",1,0,0.23,0
"1885",1,0,0.23,0
"731",1,0,0.23,0
"2502",1,0,0.23,0
"5399",1,0,0.23,0
"10148",1,0,0.23,0
"10378",1,0,0.23,0
"8065",1,0,0.23,0
"8195",1,0,0.545,0
"9389",1,0,0.545,0
"2192",1,0,0.545,0
"9036",1,0,0.545,0
"5064",1,0,0.545,0
"11136",1,0,0.545,0
"2333",1,0,1,0
"1184",1,0,0.667,0
"260",1,0,0.667,0
"8197",1,0,1,0
"1549",1,0,0.21,0
"1928",1,0,0.21,0
"5496",1,0,0.21,0
"9647",1,0,0.21,0
"6125",1,0,0.21,0
"2871",1,0,0.164,0
"4516",1,0,0.164,0
"10011",1,0,0.164,0
"10785",1,0,0.164,0
"9310",1,0,0.164,0
"4400",1,0,0.164,0
"2729",1,0,0.164,0
"704",1,0,0.164,0
"1395",1,0,0.164,0
"5888",1,0,0.164,0
"11438",1,0,0.164,0
"3737",1,0,0.164,0
"2595",1,0,0.164,0
"7693",1,0,0.164,0
"3762",1,0,0.164,0
"9346",1,0,0.164,0
"3713",1,0,0.305,0
"2127",1,0,0.305,0
"9629",1,0,0.305,0
"2889",1,0,0.305,0
"1953",1,0,0.305,0
"7632",1,0,0.305,0
"6656",1,0,0.305,0
"5639",1,0,0.305,0
"10941",1,0,0.305,0
"10532",1,0,0.305,0
"8020",1,0,0.305,0
"5215",1,0,0.305,0
"9914",1,0,0.305,0
"10653",1,0,0.305,0
"9185",1,0,0.305,0
"9589",1,0,0.305,0
"9277",1,0,0.305,0
"4469",1,0,0.305,0
"10461",1,0,0.305,0
"2320",1,0,1,0
"2635",1,0,0.234,0
"2764",1,0,0.234,0
"8969",2,0.001,0.262,0
"5094",1,0,0.6,0
"4496",1,0,0.6,0
"10300",1,0,0.6,0
"2244",1,0,0.6,0
"6434",1,0,0.6,0
"863",1,0,0.6,0
"433",1,0,0.231,0
"10767",1,0,0.231,0
"7884",1,0,0.231,0
"5790",1,0,0.231,0
"8794",1,0,0.231,0
"2432",1,0,0.231,0
"3375",1,0,0.231,0
"9805",1,0,0.231,0
"2943",1,0,0.231,0
"3550",1,0,0.231,0
"833",1,0,0.231,0
"105",1,0,0.231,0
"9133",1,0,0.231,0
"4633",1,0,0.231,0
"9684",1,0,0.231,0
"2767",1,0,0.231,0
"3310",1,0,0.231,0
"3188",1,0,0.231,0
"6165",1,0,0.231,0
"4219",1,0,0.172,0
"10247",1,0,0.172,0
"11115",2,0.005,0.262,0
"7094",1,0,0.261,0
"10278",1,0,0.261,0
"2114",1,0,0.261,0
"5453",1,0,0.261,0
"9885",1,0,0.261,0
"2836",1,0,0.261,0
"10258",1,0,0.261,0
"10416",1,0,0.261,0
"8613",1,0,0.261,0
"5252",1,0,0.261,0
"537",1,0,0.261,0
"4792",1,0,0.261,0
"7108",1,0,0.261,0
"7112",1,0,0.261,0
"10831",1,0,0.261,0
"3920",1,0,0.261,0
"4805",1,0,0.261,0
"8988",1,0,0.261,0
"9347",1,0,0.261,0
"2128",1,0,0.261,0
"489",1,0,0.261,0
"10839",1,0,0.261,0
"4627",1,0,0.261,0
"2247",1,0,0.261,0
"370",1,0,0.261,0
"1801",1,0,0.261,0
"5862",1,0,0.261,0
"10275",1,0,0.261,0
"11021",1,0,0.261,0
"9916",1,0,0.261,0
"6949",1,0,0.261,0
"10817",1,0,0.261,0
"4435",1,0,0.261,0
"995",1,0,0.261,0
"4276",1,0,0.261,0
"1983",1,0,0.261,0
"8634",1,0,0.261,0
"3053",1,0,0.261,0
"384",1,0,0.261,0
"9192",1,0,0.261,0
"10288",1,0,0.261,0
"10457",1,0,0.261,0
"6592",1,0,0.261,0
"11410",1,0,0.261,0
"11069",1,0,0.261,0
"8643",1,0,0.261,0
"2156",1,0,0.261,0
"9368",1,0,0.261,0
"761",1,0,0.261,0
"6238",1,0,0.261,0
"7718",1,0,0.261,0
"229",1,0,0.261,0
"3258",1,0,0.261,0
"1735",1,0,0.261,0
"5338",1,0,0.261,0
"590",1,0,0.261,0
"2705",1,0,0.261,0
"2531",1,0,0.261,0
"11248",1,0,0.261,0
"3602",1,0,0.261,0
"63",1,0,0.261,0
"4049",1,0,0.261,0
"8798",1,0,0.261,0
"8479",1,0,0.261,0
"10316",1,0,0.261,0
"10317",1,0,0.261,0
"9992",1,0,0.261,0
"3423",1,0,0.261,0
"9765",1,0,0.261,0
"7729",1,0,0.261,0
"968",1,0,0.261,0
"9400",1,0,0.261,0
"5761",1,0,0.261,0
"7362",1,0,0.261,0
"426",1,0,0.261,0
"11458",1,0,0.261,0
"1155",1,0,0.261,0
"9785",1,0,0.261,0
"9412",1,0,0.261,0
"4690",1,0,0.261,0
"5926",1,0,0.261,0
"8878",1,0,0.261,0
"8506",1,0,0.261,0
"9419",1,0,0.261,0
"7571",1,0,0.261,0
"9243",1,0,0.261,0
"5732",1,0,0.261,0
"8515",1,0,0.261,0
"6625",1,0,0.261,0
"9994",1,0,0.261,0
"7580",1,0,0.261,0
"1551",1,0,0.261,0
"5943",1,0,0.261,0
"11301",1,0,0.261,0
"9433",1,0,0.261,0
"2756",1,0,0.261,0
